"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Master in Music : Musical training","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Guitar","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Guitar","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Guitar","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Guitar","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Bass guitar","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Jazz guitar","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Harp","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Harp","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Harp","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Harp","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Alumnus harp","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Oboe","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Oboe","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Oboe","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Oboe","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Baroque and classical oboe","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Baroque and classical oboe","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Music informatics","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Lute and plucked instruments","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Lute and plucked instruments","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Mandolin","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Mandolin","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Bagpipes","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Electroacoustic music - Acousmatic composition","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Organ","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Organ","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Organ","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Organ","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Percussion","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Percussion","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Percussion","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Percussion","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Piano","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Piano","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Piano","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Piano","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Piano accompaniment","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Piano accompaniment","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Piano accompaniment","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Piano accompaniment","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Jazz piano","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Pianoforte","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Pianoforte","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Saxophone","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Saxophone","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Saxophone","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Saxophone","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Jazz saxophone","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Trombone","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Trombone","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Trombone","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Trombone","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Trombone and sackbut","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Jazz trombone","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Trumpet","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Trumpet","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Trumpet","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Trumpet","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Jazz trumpet","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Natural trumpet","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Tuba","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
"Master in Music : Tuba","https://www.studyinbelgium.be/en/conservatoire-royal-de-bruxelles","Conservatoire royal de Bruxelles","120","French","Master"
"Master in Music : Tuba","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Tuba","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music: Viola d'Amore","https://www.studyinbelgium.be/en/conservatoire-royal-de-liege","Conservatoire royal de Liège","120","French","Master"
"Master in Music : Viola da gamba","https://www.studyinbelgium.be/en/institut-superieur-de-musique-et-pedagogie","Institut supérieur de Musique et Pédagogie","120","French","Master"
"Master in Music : Violin","https://www.studyinbelgium.be/en/arts2","Arts²","120","French","Master"
